city,lat,lng
"Germersheim",49.216700,8.366700
"Leer",53.230800,7.452800
"Naumburg",51.250000,9.166700
"Balingen",48.273100,8.850600
"Bestensee",52.250000,13.650000
"Dieburg",49.898500,8.838500
"Velen",51.893900,6.989700
"Bischofswerda",51.127500,14.179700
"Bruchhausen-Vilsen",52.833300,9.000000
"Rodalben",49.239700,7.642500
"Petershausen",48.410300,11.470800
"Fahrland",52.467500,13.013900
"Hohenwestedt",54.083300,9.666700
"Geretsried",47.866700,11.466700
